source,type,n,round,dd_size,purity,trace,dense_nodes
Clifford_9_42,Clifford,9,1,674,0.401178,1.000000,262144
Clifford_9_42,Clifford,9,2,674,0.167497,1.000000,262144
Clifford_9_42,Clifford,9,3,674,0.073335,1.000000,262144
Clifford_9_42,Clifford,9,4,674,0.034054,1.000000,262144
Clifford_9_42,Clifford,9,5,674,0.017044,1.000000,262144
Clifford_9_42,Clifford,9,6,674,0.009380,1.000000,262144
Clifford_9_42,Clifford,9,7,674,0.005781,1.000000,262144
Clifford_9_42,Clifford,9,8,674,0.004017,1.000000,262144
Clifford_9_42,Clifford,9,9,674,0.003114,1.000000,262144
Clifford_9_42,Clifford,9,10,674,0.002632,1.000000,262144
QFT_10,QFT,10,0,11,1.000000,1.000000,1048576
QFT_10,QFT,10,1,11,0.513684,1.000000,1048576
QFT_10,QFT,10,2,11,0.276662,1.000000,1048576
QFT_10,QFT,10,3,11,0.156125,1.000000,1048576
QFT_10,QFT,10,4,11,0.092213,1.000000,1048576
QFT_10,QFT,10,5,11,0.056922,1.000000,1048576
QFT_10,QFT,10,6,11,0.036656,1.000000,1048576
QFT_10,QFT,10,7,11,0.024576,1.000000,1048576
QFT_10,QFT,10,8,11,0.017115,1.000000,1048576
QFT_10,QFT,10,9,11,0.012351,1.000000,1048576
QFT_10,QFT,10,10,11,0.009213,1.000000,1048576
Clifford_10_42,Clifford,10,0,938,1.000000,1.000000,1048576
Clifford_10_42,Clifford,10,1,2766,0.362382,1.000000,1048576
Clifford_10_42,Clifford,10,2,2766,0.137151,1.000000,1048576
Clifford_10_42,Clifford,10,3,2766,0.054626,1.000000,1048576
Clifford_10_42,Clifford,10,4,2766,0.023163,1.000000,1048576
Clifford_10_42,Clifford,10,5,2766,0.010642,1.000000,1048576
Clifford_10_42,Clifford,10,6,2766,0.005424,1.000000,1048576
Clifford_10_42,Clifford,10,7,2766,0.003141,1.000000,1048576
Clifford_10_42,Clifford,10,8,2766,0.002089,1.000000,1048576
Clifford_10_42,Clifford,10,9,2766,0.001580,1.000000,1048576
Clifford_10_42,Clifford,10,10,2766,0.001319,1.000000,1048576
QFT_11,QFT,11,0,12,1.000000,1.000000,4194304
QFT_11,QFT,11,1,12,0.480580,1.000000,4194304
QFT_11,QFT,11,2,12,0.243302,1.000000,4194304
QFT_11,QFT,11,3,12,0.129664,1.000000,4194304
QFT_11,QFT,11,4,12,0.072656,1.000000,4194304
QFT_11,QFT,11,5,12,0.042737,1.000000,4194304
QFT_11,QFT,11,6,12,0.026337,1.000000,4194304
QFT_11,QFT,11,7,12,0.016965,1.000000,4194304
QFT_11,QFT,11,8,12,0.011395,1.000000,4194304
QFT_11,QFT,11,9,12,0.007959,1.000000,4194304
QFT_11,QFT,11,10,12,0.005766,1.000000,4194304
Clifford_11_42,Clifford,11,0,714,1.000000,1.000000,4194304
Clifford_11_42,Clifford,11,1,1628,0.338996,1.000000,4194304
Clifford_11_42,Clifford,11,2,1628,0.120512,1.000000,4194304
Clifford_11_42,Clifford,11,3,1628,0.045228,1.000000,4194304
Clifford_11_42,Clifford,11,4,1628,0.018112,1.000000,4194304
Clifford_11_42,Clifford,11,5,1628,0.007874,1.000
